season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2001,7,243,KAN,,SandTe20,,Terdell Sands,False,DT,DL,D,Chattanooga,21.0,2009.0,0,0,1,11.0,,,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,4.0
2002,1,2,CAR,00-0021140,PeppJu99,julius-peppers-1,Julius Peppers,False,DE,DL,D,North Carolina,22.0,2018.0,3,9,16,130.0,,75.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,11.0,159.5
2002,1,6,KAN,,SimsRy20,,Ryan Sims,False,DT,DL,D,North Carolina,22.0,2010.0,0,0,3,22.0,,14.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,8.5
2002,1,9,JAX,,HendJo99,john-henderson-1,John Henderson,False,DT,DL,D,Tennessee,23.0,2011.0,0,2,8,64.0,,62.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,,29.0
2002,1,11,IND,,FreeDw00,dwight-freeney-1,Dwight Freeney,False,DE,DL,D,Syracuse,22.0,2017.0,3,7,11,81.0,,77.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,,125.5
2002,1,12,ARI,,BryaWe20,,Wendell Bryant,False,DT,DL,D,Wisconsin,21.0,2004.0,0,0,0,4.0,,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,,1.5
2002,1,15,TEN,,HaynAl20,,Albert Haynesworth,False,DT,DL,D,Tennessee,21.0,2011.0,2,2,7,55.0,,48.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,,30.5
2002,1,22,NYJ,,ThomBr21,bryan-thomas-1,Bryan Thomas,False,DE,DL,D,Ala-Birmingham,23.0,2012.0,0,0,7,49.0,,49.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,,33.5
2002,1,25,NOR,,GranCh21,charles-grant-1,Charles Grant,False,DE,DL,D,Georgia,24.0,2009.0,0,0,7,46.0,,46.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,1.0,47.0
2002,2,35,DET,,EdwaKa20,kalimba-edwards-1,Kalimba Edwards,False,DE,DL,D,South Carolina,22.0,2008.0,0,0,2,20.0,,15.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,,31.0
2002,2,42,IND,,TripLa20,,Larry Tripplett,False,DT,DL,D,Washington,23.0,2007.0,0,0,4,27.0,,14.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,8.5
2002,2,43,KAN,,FreeEd20,,Eddie Freeman,False,DE,DL,D,Ala-Birmingham,24.0,2003.0,0,0,0,1.0,,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,4.0
2002,2,52,BAL,,WeavAn20,anthony-weaver-1,Anthony Weaver,False,DE,DL,D,Notre Dame,22.0,2008.0,0,0,6,41.0,,28.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,3.0,15.5
2002,2,60,SEA,,PaleAn20,,Anton Palepoi,False,DE,DL,D,UNLV,24.0,2005.0,0,0,0,4.0,,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,4.0
2002,2,61,BUF,,DennRy20,ryan-denney-1,Ryan Denney,False,DE,DL,D,BYU,25.0,2010.0,0,0,2,23.0,,23.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,2.0,191.0,,23.5
2002,3,83,HOU,,HillCh20,,Charles Hill,False,DT,DL,D,Maryland,21.0,2002.0,0,0,0,1.0,,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
2002,3,96,DEN,,DaviDo23,,Dorsett Davis,False,DE,DL,D,Mississippi St.,23.0,2003.0,0,0,0,1.0,,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,
2002,3,98,ARI,00-0029435,JohnDe22,,Dennis Johnson,False,DE,DL,D,Kentucky,22.0,2004.0,0,0,1,5.0,,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,3.0
2002,4,104,CHI,,BrowAl20,alex-brown-1,Alex Brown,False,DE,DL,D,Florida,23.0,2010.0,0,0,8,59.0,,54.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,5.0,45.5
