season,round,pick,Team Abbr,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2005,3,88,NYJ,,PouhSi20,sione-pouha-1,Sione Pouha,False,DT,DL,D,Utah,26.0,2012.0,0,0,4,36.0,,36.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,,4.5
2005,4,132,DAL,,CantCh21,,Chris Canty,False,DE,DL,D,Virginia,22.0,2015.0,0,0,9,46.0,,20.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,,22.5
2005,5,146,PHI,,ColeTr20,trent-cole-1,Trent Cole,False,DE,DL,D,Cincinnati,22.0,2016.0,0,2,9,68.0,,66.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,1.0,90.5
2005,6,189,CAR,,HayeJo20,jovan-haye-1,Jovan Haye,False,DE,DL,D,Vanderbilt,23.0,2011.0,0,0,3,25.0,,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,,6.5
2005,7,216,MIA,,VickKe99,,Kevin Vickerson,False,DT,DL,D,Michigan St.,22.0,2014.0,0,0,3,21.0,,,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1.0,6.5
2005,7,224,DAL,,RatlJa20,jay-ratliff-1,Jay Ratliff,False,DE,DL,D,Auburn,24.0,2015.0,1,4,7,55.0,,51.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,,35.0
2006,1,1,HOU,,WillMa22,mario-williams-1,Mario Williams,False,DE,DL,D,North Carolina St.,21.0,2016.0,1,4,9,79.0,,36.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,,97.5
2006,1,12,BAL,00-0024227,NgatHa20,haloti-ngata-1,Haloti Ngata,False,DT,DL,D,Oregon,22.0,2018.0,2,5,12,100.0,,92.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,5.0,32.5
2006,1,13,CLE,,WimbKa20,kamerion-wimbley-1,Kamerion Wimbley,False,DE,DL,D,Florida St.,22.0,2014.0,0,0,8,44.0,,24.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,2.0,53.5
2006,1,14,PHI,,BunkBr20,brodrick-bunkley-1,Brodrick Bunkley,False,DT,DL,D,Florida St.,22.0,2014.0,0,0,7,40.0,,25.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,,8.5
